releaseTime,stableId,startLat,startLon,destLat,destLon
2021-10-11T06:00:00,P1-0001,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:00,P2-0001,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:00,P3-0001,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:00,P4-0001,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:00,P5-0001,45.3876035,-75.6950176,45.3896198,-75.694494
2021-10-11T06:00:00,P6-0001,45.3885825,-75.6970087,45.3896198,-75.694494
2021-10-11T06:00:00,P7-0001,45.388917569401215,-75.69595277883728,45.3896198,-75.694494
2021-10-11T06:00:05,P1-0002,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:05,P2-0002,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:05,P3-0002,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:05,P4-0002,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:05,P5-0002,45.3876035,-75.6950176,45.3896198,-75.694494
2021-10-11T06:00:05,P6-0002,45.3885825,-75.6970087,45.3896198,-75.694494
2021-10-11T06:00:05,P7-0002,45.388917569401215,-75.69595277883728,45.3896198,-75.694494
2021-10-11T06:00:10,P1-0003,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:10,P2-0003,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:10,P3-0003,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:10,P4-0003,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:10,P5-0003,45.3876035,-75.6950176,45.3896198,-75.694494
2021-10-11T06:00:10,P6-0003,45.3885825,-75.6970087,45.3896198,-75.694494
2021-10-11T06:00:10,P7-0003,45.388917569401215,-75.69595277883728,45.3896198,-75.694494
2021-10-11T06:00:15,P1-0004,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:15,P2-0004,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:15,P3-0004,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:15,P4-0004,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:15,P5-0004,45.3876035,-75.6950176,45.3896198,-75.694494
2021-10-11T06:00:15,P6-0004,45.3885825,-75.6970087,45.3896198,-75.694494
2021-10-11T06:00:15,P7-0004,45.388917569401215,-75.69595277883728,45.3896198,-75.694494
2021-10-11T06:00:20,P1-0005,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:20,P2-0005,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:20,P3-0005,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:20,P4-0005,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:20,P5-0005,45.3876035,-75.6950176,45.3896198,-75.694494
2021-10-11T06:00:20,P6-0005,45.3885825,-75.6970087,45.3896198,-75.694494
2021-10-11T06:00:20,P7-0005,45.388917569401215,-75.69595277883728,45.3896198,-75.694494
2021-10-11T06:00:25,P1-0006,45.38102036933288,-75.7008583198179,45.3792575,-75.7004525
2021-10-11T06:00:25,P2-0006,45.38390667961675,-75.69632414571365,45.3792575,-75.7004525
2021-10-11T06:00:25,P3-0006,45.3847,-75.6919,45.3792575,-75.7004525
2021-10-11T06:00:25,P4-0006,45.385682818310016,-75.69505807743009,45.3792575,-75.7004525
2021-10-11T06:00:25,P5-0006,45.3876035,-75.6950176,45.3896198,-75.694494
